epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.417,2.84651,9.27694,0.67896,2.95964,3.41375,0.47147,0.38917,0.38964,0.16879,0.07858,0.06754,0.0159,0.00238,1.98386,8.01614,0.60544,2.13509,2.58906,0.00333239,0.00333239,0.00333239
2,786.601,1.8384,7.57644,0.56098,1.97477,2.24434,0.68301,0.55562,0.63908,0.34451,0.40987,0.24591,0.18718,0.04575,1.56037,6.31467,0.50041,1.59867,2.03488,0.00659973,0.00659973,0.00659973
3,1208.33,1.60612,6.63316,0.49005,1.70575,1.96923,0.73408,0.61225,0.70827,0.41273,0.53065,0.37663,0.3322,0.09682,1.40251,5.42945,0.45441,1.40338,1.81775,0.00980108,0.00980108,0.00980108
4,1630.75,1.48237,6.14998,0.46142,1.56022,1.8241,0.77189,0.64846,0.75479,0.47467,0.59738,0.45923,0.4273,0.1396,1.27721,4.90078,0.42606,1.23486,1.67574,0.009703,0.009703,0.009703
5,2053.2,1.3948,5.77542,0.44301,1.44639,1.72177,0.7901,0.68563,0.78761,0.51138,0.65072,0.51134,0.49373,0.17006,1.20031,4.58447,0.4093,1.12864,1.58694,0.009604,0.009604,0.009604
6,2471.95,1.33779,5.49126,0.42894,1.3548,1.66071,0.79147,0.70627,0.80273,0.53867,0.69373,0.53778,0.54095,0.19924,1.1406,4.33431,0.39801,1.05698,1.51374,0.009505,0.009505,0.009505
7,2890.49,1.29124,5.27436,0.41654,1.28747,1.61731,0.80954,0.71725,0.82007,0.55995,0.70179,0.56203,0.5654,0.21729,1.10011,4.15505,0.38951,0.99584,1.47069,0.009406,0.009406,0.009406
8,3311.4,1.2611,5.13135,0.40956,1.2404,1.58028,0.81495,0.72733,0.83097,0.57581,0.72504,0.57509,0.58948,0.23945,1.06991,3.99045,0.38135,0.95663,1.43885,0.009307,0.009307,0.009307
9,3730.83,1.22876,5.0073,0.40494,1.20674,1.55234,0.82659,0.73725,0.84218,0.58879,0.73392,0.59751,0.61002,0.25084,1.0429,3.87298,0.3769,0.91786,1.40747,0.009208,0.009208,0.009208
10,4149.44,1.20887,4.92251,0.39879,1.18106,1.53139,0.81308,0.7585,0.84686,0.59634,0.72192,0.61183,0.61854,0.26285,1.02234,3.78016,0.37226,0.89799,1.38431,0.009109,0.009109,0.009109
11,4570.39,1.19989,4.84852,0.39573,1.16601,1.52091,0.82238,0.75598,0.85095,0.60336,0.73696,0.6187,0.63204,0.27534,1.00525,3.69949,0.36952,0.87931,1.36573,0.00901,0.00901,0.00901
12,4994.34,1.19106,4.76985,0.39379,1.14353,1.50543,0.82062,0.76199,0.85627,0.61192,0.75568,0.62426,0.65051,0.28561,0.98995,3.62095,0.366,0.86043,1.35048,0.008911,0.008911,0.008911
13,5414.18,1.17316,4.7084,0.3887,1.12906,1.48984,0.82099,0.76969,0.85849,0.6178,0.75204,0.62878,0.65721,0.29535,0.97983,3.56206,0.36498,0.84858,1.33846,0.008812,0.008812,0.008812
14,5839.59,1.16393,4.61603,0.38542,1.11445,1.47571,0.82288,0.77031,0.86131,0.62271,0.75753,0.63161,0.6622,0.30308,0.97145,3.50586,0.36238,0.83803,1.32694,0.008713,0.008713,0.008713
15,6263.41,1.14792,4.57306,0.38325,1.09334,1.4593,0.82513,0.77256,0.86418,0.62457,0.75522,0.64499,0.67213,0.31111,0.96448,3.46087,0.36112,0.82947,1.31778,0.008614,0.008614,0.008614
16,6684.72,1.14937,4.51333,0.38124,1.09888,1.45395,0.82357,0.77519,0.86529,0.62758,0.76322,0.65082,0.68,0.31729,0.95866,3.41937,0.35934,0.8222,1.31017,0.008515,0.008515,0.008515
17,7106.18,1.13629,4.47288,0.37812,1.0781,1.44161,0.83022,0.77566,0.86687,0.62978,0.77695,0.64488,0.68611,0.32312,0.95348,3.38952,0.35835,0.8162,1.30326,0.008416,0.008416,0.008416
18,7529.62,1.12448,4.415,0.37706,1.06656,1.42818,0.83049,0.77746,0.86784,0.63195,0.76979,0.65176,0.69004,0.32739,0.95078,3.36103,0.35708,0.81088,1.29904,0.008317,0.008317,0.008317
19,7951.69,1.12013,4.38484,0.37407,1.06217,1.4249,0.83192,0.77919,0.86869,0.63482,0.77103,0.65525,0.69341,0.33067,0.94695,3.33751,0.35632,0.80702,1.29361,0.008218,0.008218,0.008218
20,8375.97,1.11744,4.36525,0.37493,1.05281,1.42205,0.83093,0.78144,0.8695,0.63651,0.76675,0.65827,0.69552,0.33361,0.94284,3.31419,0.35547,0.80345,1.28841,0.008119,0.008119,0.008119
21,8800.09,1.11433,4.32311,0.37247,1.04612,1.41152,0.83194,0.78089,0.87042,0.63761,0.77323,0.65598,0.69733,0.3365,0.93986,3.29483,0.35467,0.79995,1.28457,0.00802,0.00802,0.00802
22,9224.5,1.10135,4.27099,0.3699,1.03115,1.40016,0.83147,0.7807,0.87104,0.63923,0.7759,0.65518,0.69809,0.33946,0.93736,3.27716,0.35403,0.79682,1.28061,0.007921,0.007921,0.007921
23,9645.94,1.09856,4.22705,0.37005,1.02709,1.39774,0.83619,0.77912,0.87171,0.6405,0.77445,0.65775,0.6986,0.34178,0.93516,3.25951,0.35315,0.79377,1.27705,0.007822,0.007822,0.007822
24,10067.7,1.08956,4.20787,0.36613,1.01622,1.38926,0.83799,0.78133,0.87282,0.64155,0.77987,0.65963,0.70299,0.34464,0.9325,3.24183,0.35239,0.79079,1.27338,0.007723,0.007723,0.007723
25,10487.6,1.09119,4.17506,0.36649,1.01992,1.38643,0.83891,0.77968,0.87343,0.64292,0.7806,0.66137,0.70454,0.34682,0.93001,3.22593,0.35163,0.7869,1.26988,0.007624,0.007624,0.007624
26,10913.4,1.08685,4.16577,0.36537,1.01093,1.38352,0.83966,0.78117,0.8746,0.64461,0.78058,0.66483,0.70674,0.34966,0.92733,3.21108,0.3508,0.78426,1.26569,0.007525,0.007525,0.007525
27,11337,1.07772,4.11665,0.36328,1.00467,1.37302,0.84054,0.78003,0.87539,0.64601,0.77532,0.66924,0.70641,0.35118,0.92444,3.19581,0.34998,0.78057,1.26148,0.007426,0.007426,0.007426
28,11759.4,1.07156,4.10904,0.36287,0.99836,1.36765,0.84012,0.78401,0.87669,0.64778,0.78242,0.67028,0.70969,0.35412,0.92138,3.18025,0.34918,0.77757,1.25744,0.007327,0.007327,0.007327
29,12176.8,1.06899,4.06941,0.36368,0.9909,1.36325,0.84158,0.78448,0.87705,0.64921,0.78051,0.67365,0.71162,0.35714,0.91898,3.16471,0.34849,0.7749,1.25323,0.007228,0.007228,0.007228
30,12597.7,1.07328,4.058,0.36175,0.99161,1.3652,0.84504,0.78385,0.8782,0.65116,0.7806,0.67585,0.71436,0.35968,0.91623,3.14773,0.34768,0.77266,1.24921,0.007129,0.007129,0.007129
31,13016.6,1.06814,4.0375,0.36015,0.98907,1.3569,0.84527,0.78574,0.8787,0.65194,0.7836,0.67821,0.71736,0.36306,0.91384,3.13214,0.34695,0.77032,1.24555,0.00703,0.00703,0.00703
32,13438.5,1.06219,3.99827,0.35792,0.97889,1.35346,0.84482,0.78682,0.87967,0.65334,0.78613,0.68168,0.72052,0.36593,0.91169,3.11759,0.34621,0.76792,1.24189,0.006931,0.006931,0.006931
33,13861.9,1.06111,4.02006,0.35852,0.98424,1.35011,0.84414,0.78702,0.88053,0.65473,0.78954,0.68451,0.72522,0.36918,0.90931,3.1,0.3456,0.76515,1.23803,0.006832,0.006832,0.006832
34,14284.6,1.05364,3.98441,0.35696,0.97151,1.34288,0.84362,0.78904,0.88139,0.65586,0.79289,0.68404,0.7266,0.37202,0.90709,3.08472,0.34495,0.76233,1.23429,0.006733,0.006733,0.006733
35,14709.8,1.04934,3.96708,0.35585,0.97142,1.33538,0.84408,0.79077,0.88211,0.65723,0.7963,0.68498,0.72839,0.37465,0.9045,3.06762,0.34409,0.75995,1.23057,0.006634,0.006634,0.006634
36,15131.9,1.04756,3.93772,0.35707,0.9637,1.33514,0.84654,0.7914,0.88326,0.65823,0.79798,0.68467,0.72954,0.37719,0.90183,3.05255,0.34322,0.75668,1.22667,0.006535,0.006535,0.006535
37,15552.4,1.04192,3.91124,0.35322,0.95606,1.32976,0.84623,0.78925,0.88353,0.65934,0.79826,0.6886,0.73164,0.37956,0.89943,3.03496,0.34237,0.75386,1.22312,0.006436,0.006436,0.006436
38,15971.6,1.04113,3.86994,0.35242,0.95197,1.3274,0.84945,0.78873,0.88495,0.66051,0.80137,0.68939,0.73343,0.38206,0.89728,3.01955,0.3415,0.75127,1.21971,0.006337,0.006337,0.006337
39,16399.3,1.04196,3.85129,0.35423,0.94779,1.32751,0.84587,0.79312,0.88482,0.66164,0.79999,0.69411,0.73516,0.38464,0.89455,3.00462,0.34062,0.74838,1.2161,0.006238,0.006238,0.006238
40,16823.3,1.03762,3.84457,0.34976,0.9516,1.32871,0.84817,0.79266,0.88626,0.66336,0.80092,0.69354,0.73727,0.38745,0.89225,2.98836,0.33988,0.74552,1.21288,0.006139,0.006139,0.006139
41,17245.6,1.03264,3.84964,0.3527,0.94846,1.31719,0.8458,0.79471,0.88668,0.66435,0.80466,0.69458,0.73945,0.39042,0.89015,2.97011,0.33911,0.74324,1.20958,0.00604,0.00604,0.00604
42,17669.8,1.03229,3.80918,0.35069,0.93782,1.31572,0.8503,0.79229,0.88731,0.66556,0.80901,0.69332,0.74116,0.39346,0.88745,2.95455,0.33827,0.74024,1.20608,0.005941,0.005941,0.005941
43,18091.3,1.03048,3.83042,0.35168,0.94377,1.31184,0.85163,0.79188,0.88838,0.66746,0.80995,0.69647,0.74463,0.39689,0.88447,2.93871,0.33733,0.73776,1.20226,0.005842,0.005842,0.005842
44,18514.6,1.02734,3.79094,0.34898,0.93448,1.31297,0.84899,0.79786,0.88912,0.66819,0.81079,0.69758,0.74712,0.39964,0.88187,2.9212,0.33654,0.73499,1.19868,0.005743,0.005743,0.005743
45,18939.8,1.02244,3.73569,0.3473,0.9255,1.30489,0.85132,0.7966,0.88955,0.66935,0.80527,0.70442,0.74936,0.40293,0.8791,2.90454,0.33567,0.73234,1.19528,0.005644,0.005644,0.005644
46,19362.3,1.01492,3.7603,0.34653,0.92612,1.30365,0.85,0.79707,0.8905,0.67003,0.80818,0.70377,0.75061,0.40593,0.87668,2.89057,0.33506,0.72952,1.19237,0.005545,0.005545,0.005545
47,19781.1,1.02262,3.72731,0.34934,0.92586,1.29936,0.84816,0.79865,0.8912,0.6714,0.81081,0.70324,0.75164,0.40875,0.8752,2.87593,0.33433,0.72698,1.19011,0.005446,0.005446,0.005446
48,20206.7,1.01427,3.69973,0.34609,0.91822,1.2976,0.84987,0.7977,0.89148,0.67265,0.81099,0.70623,0.75464,0.4115,0.87332,2.86107,0.33363,0.72399,1.18745,0.005347,0.005347,0.005347
49,20629.1,1.01052,3.66941,0.3453,0.91666,1.29548,0.84873,0.80227,0.89268,0.6738,0.81167,0.70812,0.75576,0.41421,0.8717,2.84556,0.3329,0.72113,1.18496,0.005248,0.005248,0.005248
50,21049.3,1.00786,3.6552,0.34348,0.9141,1.2915,0.84989,0.804,0.89305,0.67512,0.81425,0.71011,0.75803,0.41593,0.86993,2.83108,0.33224,0.71893,1.18223,0.005149,0.005149,0.005149
51,21469.4,1.00981,3.67691,0.34473,0.91749,1.2947,0.85045,0.80215,0.89363,0.6761,0.81918,0.70749,0.7593,0.4188,0.86846,2.81561,0.3315,0.71622,1.17986,0.00505,0.00505,0.00505
52,21889,1.01054,3.68008,0.34495,0.90847,1.29255,0.85446,0.79765,0.89423,0.67766,0.82228,0.70803,0.76096,0.42114,0.8667,2.80084,0.33079,0.71336,1.17741,0.004951,0.004951,0.004951
53,22312.3,1.00512,3.59695,0.34099,0.89983,1.2851,0.85369,0.80008,0.89471,0.67876,0.82166,0.70749,0.76233,0.42455,0.86439,2.78619,0.3301,0.71032,1.17459,0.004852,0.004852,0.004852
54,22731.8,1.00483,3.60107,0.34165,0.89851,1.28752,0.85582,0.80038,0.89509,0.67995,0.82109,0.71001,0.76363,0.42759,0.86254,2.77155,0.32932,0.70755,1.17235,0.004753,0.004753,0.004753
55,23153.9,1.00777,3.62565,0.34089,0.90485,1.28862,0.85085,0.80494,0.89583,0.68057,0.81979,0.7119,0.76481,0.43023,0.86038,2.75873,0.3286,0.70422,1.16959,0.004654,0.004654,0.004654
